pruning,,24-puzzle_h0,24-puzzle_h0,24-puzzle_h2,24-puzzle_h2,24-puzzle_h1,24-puzzle_h1
algorithm,,bfs,iddfs,bfs,iddfs,bfs,iddfs
file,instance,,,,,,
24_puzzle_50_instances_korf.txt,23 22 5 3 9 6 18 15 10 2 21 13 19 12 20 7 0 1 16 24 17 4 14 8 11,"(False, '16495493', '4788547')","(False, '12758888', '3686831')","(False, '11737161', '3400737')","(False, '12665924', '3659848')","(False, '13051044', '3783885')","(False, '16492850', '4770766')"
24_puzzle_50_instances_korf.txt,12 23 9 18 24 22 4 0 16 13 20 3 15 6 17 8 7 11 19 1 10 2 14 5 21,"(False, '12803091', '3683736')","(False, '12817874', '3698913')","(False, '12374959', '3561363')","(False, '12497766', '3607027')","(False, '12904615', '3712739')","(False, '12438518', '3590026')"
24_puzzle_50_instances_korf.txt,21 24 8 1 19 22 12 9 7 18 4 0 23 14 10 6 3 11 16 5 15 2 20 13 17,"(False, '17074312', '4903973')","(False, '11706849', '3380065')","(False, '12500065', '3597019')","(False, '12800892', '3694024')","(False, '16196813', '4653232')","(False, '13288729', '3833927')"
24_puzzle_50_instances_korf.txt,8 12 18 3 2 11 10 22 24 17 1 13 23 4 20 16 6 15 9 21 19 5 14 0 7,"(False, '16980165', '4907680')","(False, '12988416', '3738904')","(False, '12493482', '3599124')","(False, '12415963', '3574508')","(False, '12964230', '3736442')","(False, '13216474', '3804365')"
24_puzzle_50_instances_korf.txt,2 17 4 13 7 12 10 3 0 16 21 24 8 5 18 20 15 19 14 9 22 11 6 1 23,"(False, '17417221', '5053954')","(False, '13182785', '3809600')","(False, '12293340', '3563015')","(False, '16077768', '4650376')","(False, '12972619', '3761148')","(False, '13158085', '3802368')"
24_puzzle_50_instances_korf.txt,2 21 3 7 0 8 5 14 18 6 12 11 23 20 10 15 17 4 9 16 13 19 24 22 1,"(False, '16750302', '4812167')","(False, '13212918', '3813887')","(False, '12543541', '3610207')","(False, '12811544', '3698676')","(False, '17149877', '4926361')","(False, '12536726', '3619724')"
24_puzzle_50_instances_korf.txt,8 19 7 16 12 2 13 22 14 9 11 5 6 3 18 24 0 15 10 23 1 20 4 17 21,"(False, '17244080', '5004440')","(False, '12443051', '3595160')","(False, '12650523', '3667049')","(False, '12946751', '3741358')","(False, '12873304', '3732020')","(False, '11944535', '3450343')"
24_puzzle_50_instances_korf.txt,6 0 24 14 8 5 21 19 9 17 16 20 10 13 2 15 11 22 1 3 7 23 4 18 12,"(False, '15827045', '4571587')","(False, '11987996', '3451916')","(False, '15853046', '4579167')","(False, '17558667', '5063639')","(False, '12675747', '3652234')","(False, '12044691', '3468159')"
24_puzzle_50_instances_korf.txt,9 7 16 18 12 1 23 8 22 0 6 19 4 13 2 24 11 15 21 17 20 3 10 14 5,"(False, '12811535', '3691728')","(False, '11912615', '3429929')","(False, '16863162', '4873563')","(False, '13179156', '3793557')","(False, '16957295', '4901043')","(False, '17139389', '4941787')"
24_puzzle_50_instances_korf.txt,2 22 21 0 23 8 14 20 12 7 16 11 3 5 1 15 4 9 24 10 13 6 19 17 18,"(False, '12547909', '3615009')","(False, '16951715', '4887497')","(False, '17219835', '4977655')","(False, '17629629', '5084271')","(False, '12193401', '3511618')","(False, '16967713', '4892125')"
24_puzzle_50_instances_korf.txt,16 5 1 12 6 24 17 9 2 22 4 10 13 18 19 20 0 23 7 21 15 11 8 3 14,"(False, '17094533', '4961722')","(False, '13036248', '3767305')","(False, '12943060', '3752363')","(False, '16658916', '4818947')","(False, '16480187', '4784083')","(False, '12082911', '3490578')"
24_puzzle_50_instances_korf.txt,15 11 8 18 14 3 19 16 20 5 24 2 17 4 22 10 1 13 9 21 23 7 6 12 0,"(False, '11930523', '3435017')","(False, '11615009', '3355108')","(False, '16112082', '4629792')","(False, '13336222', '3849232')","(False, '12513804', '3601706')","(False, '12900928', '3724338')"
24_puzzle_50_instances_korf.txt,3 17 9 8 24 1 11 12 14 0 5 4 22 13 16 21 15 6 7 10 20 23 2 18 19,"(False, '12130430', '3493162')","(False, '15606559', '4496572')","(False, '17300608', '5001175')","(False, '12898033', '3712884')","(False, '11819836', '3402546')","(False, '13007848', '3744396')"
24_puzzle_50_instances_korf.txt,18 14 0 9 8 3 7 19 2 15 5 12 1 13 24 23 4 21 10 20 16 22 11 6 17,"(False, '12182198', '3532582')","(False, '12421282', '3595188')","(False, '13034536', '3776179')","(False, '13361442', '3868202')","(False, '12392621', '3592732')","(False, '17506681', '5065965')"
24_puzzle_50_instances_korf.txt,11 22 6 21 8 13 20 23 0 2 15 7 12 18 16 3 1 17 5 4 9 14 24 10 19,"(False, '14921119', '4329376')","(False, '12705983', '3671153')","(False, '13035214', '3779393')","(False, '13294777', '3842151')","(False, '12062526', '3496113')","(False, '17537554', '5074282')"
24_puzzle_50_instances_korf.txt,16 6 20 18 23 19 7 11 13 17 12 9 1 24 3 22 2 21 10 4 8 15 14 5 0,"(False, '12355719', '3556541')","(False, '12074908', '3487094')","(False, '12789533', '3680490')","(False, '13118001', '3786587')","(False, '12892662', '3709963')","(False, '13170480', '3801697')"
24_puzzle_50_instances_korf.txt,2 10 1 7 16 9 0 6 12 11 3 18 22 4 13 24 20 15 8 14 21 23 17 19 5,"(False, '12482491', '3618246')","(False, '13065592', '3776045')","(False, '16178297', '4696083')","(False, '17717753', '5126618')","(False, '17210429', '4994850')","(False, '11778172', '3402184')"
24_puzzle_50_instances_korf.txt,16 13 6 23 9 8 3 5 24 15 22 12 21 17 1 19 10 7 11 4 18 2 14 20 0,"(False, '16935874', '4865133')","(False, '15666050', '4517910')","(False, '17286039', '4965189')","(False, '13245700', '3823279')","(False, '17285097', '4964923')","(False, '13432380', '3876836')"
24_puzzle_50_instances_korf.txt,1 12 18 13 17 15 3 7 20 0 19 24 6 5 21 11 2 8 9 16 22 10 4 23 14,"(False, '16509351', '4770354')","(False, '17067036', '4920798')","(False, '12869383', '3708589')","(False, '12154040', '3499246')","(False, '13026639', '3754454')","(False, '13441817', '3868947')"
24_puzzle_50_instances_korf.txt,21 22 15 9 24 12 16 23 2 8 5 18 17 7 10 14 13 4 0 6 20 11 3 1 19,"(False, '12835086', '3720850')","(False, '17470206', '5054166')","(False, '16437074', '4771494')","(False, '16303635', '4715694')","(False, '13185704', '3823096')","(False, '16574307', '4794237')"
24_puzzle_50_instances_korf.txt,7 13 11 22 12 20 1 18 21 5 0 8 14 24 19 9 4 17 16 10 23 15 3 2 6,"(False, '17217510', '4971113')","(False, '17714465', '5125313')","(False, '11892260', '3449669')","(False, '17339770', '5017687')","(False, '16899962', '4880423')","(False, '18034051', '5217035')"
24_puzzle_50_instances_korf.txt,17 15 7 12 8 3 4 9 21 5 16 6 19 20 1 22 24 18 11 14 23 10 2 13 0,"(False, '12085748', '3479397')","(False, '16215671', '4675651')","(False, '11710809', '3372255')","(False, '11989550', '3462619')","(False, '16884508', '4850456')","(False, '13425764', '3874943')"
24_puzzle_50_instances_korf.txt,2 0 10 19 1 4 16 3 15 20 22 9 6 18 5 13 12 21 8 17 23 11 24 7 14,"(False, '11871475', '3417672')","(False, '12415190', '3574525')","(False, '12163590', '3502892')","(False, '12760179', '3673481')","(False, '17521165', '5065743')","(False, '13418172', '3862334')"
24_puzzle_50_instances_korf.txt,7 4 19 12 16 20 15 23 8 10 1 18 2 17 14 24 9 5 0 21 6 3 11 13 22,"(False, '12990197', '3766104')","(False, '16457654', '4760427')","(False, '16734682', '4858325')","(False, '16598816', '4801372')","(False, '12423238', '3600677')","(False, '13427589', '3880592')"
24_puzzle_50_instances_korf.txt,23 14 0 24 17 9 20 21 2 18 10 13 22 1 3 11 4 16 6 5 7 12 8 15 19,"(False, '12339439', '3577517')","(False, '16543742', '4789429')","(False, '16657919', '4811464')","(False, '16286540', '4715635')","(False, '13063801', '3784546')","(False, '12345141', '3573064')"
24_puzzle_50_instances_korf.txt,24 1 17 10 15 14 3 13 8 0 22 16 20 7 21 4 12 9 2 11 5 23 6 18 19,"(False, '12313050', '3546436')","(False, '16451543', '4741933')","(False, '15748569', '4548402')","(False, '12080701', '3478183')","(False, '17433490', '5039934')","(False, '12337798', '3552032')"
24_puzzle_50_instances_korf.txt,9 19 8 20 2 3 14 1 24 6 13 18 7 10 17 5 22 12 21 16 15 0 23 11 4,"(False, '17371223', '5021975')","(False, '13198436', '3799252')","(False, '15977118', '4615371')","(False, '12725564', '3663388')","(False, '17318882', '5006744')","(False, '13099434', '3770804')"
24_puzzle_50_instances_korf.txt,24 10 15 9 16 6 3 22 17 13 19 23 21 11 18 0 1 2 7 8 20 5 12 4 14,"(False, '16668353', '4816656')","(False, '12049931', '3469372')","(False, '11950349', '3440702')","(False, '16245719', '4682327')","(False, '17010515', '4916419')","(False, '12813393', '3688588')"
24_puzzle_50_instances_korf.txt,19 20 12 21 7 0 16 10 5 9 14 23 3 11 4 2 6 1 8 15 17 13 22 24 18,"(False, '15222962', '4395165')","(False, '11797781', '3397015')","(False, '17316244', '5005759')","(False, '13256212', '3815690')","(False, '12521599', '3607293')","(False, '12787726', '3681183')"
24_puzzle_50_instances_korf.txt,24 11 18 7 3 17 5 1 23 15 21 8 2 4 19 14 0 16 22 6 9 13 20 12 10,"(False, '16967814', '4925523')","(False, '12770727', '3690278')","(False, '17335657', '5030636')","(False, '13288611', '3840541')","(False, '12524535', '3630315')","(False, '12467781', '3602354')"
24_puzzle_50_instances_korf.txt,3 2 17 0 14 18 22 19 15 20 9 7 10 21 16 6 24 23 8 5 1 4 11 12 13,"(False, '16105132', '4652640')","(False, '15733584', '4533743')","(False, '12894909', '3716267')","(False, '17500181', '5046694')","(False, '15768646', '4554440')","(False, '16033166', '4620757')"
24_puzzle_50_instances_korf.txt,14 24 18 12 22 15 5 1 23 11 6 19 10 13 7 0 3 9 4 17 2 21 16 20 8,"(False, '12185644', '3509290')","(False, '16135954', '4650472')","(False, '13025095', '3754094')","(False, '16794513', '4841798')","(False, '12506939', '3602969')","(False, '16243215', '4681606')"
24_puzzle_50_instances_korf.txt,18 24 17 11 12 10 19 15 6 1 5 21 22 9 7 3 2 16 14 4 20 23 0 8 13,"(False, '14599201', '4223214')","(False, '16101721', '4662585')","(False, '17431676', '5032459')","(False, '13248779', '3835333')","(False, '16105421', '4653570')","(False, '17552358', '5079085')"
24_puzzle_50_instances_korf.txt,10 3 24 12 0 7 8 11 14 21 22 23 2 1 9 17 18 6 20 4 13 15 5 19 16,"(False, '12565095', '3616368')","(False, '11852791', '3423374')","(False, '17363643', '4987428')","(False, '12377420', '3573951')","(False, '17097154', '4911298')","(False, '13084269', '3776984')"
24_puzzle_50_instances_korf.txt,4 5 1 23 21 13 2 10 18 17 15 7 0 9 3 14 11 12 19 8 6 20 24 22 16,"(False, '15611346', '4522616')","(False, '11861667', '3419216')","(False, '13041488', '3773064')","(False, '17727084', '5121909')","(False, '12905397', '3733332')","(False, '16492731', '4763518')"
24_puzzle_50_instances_korf.txt,14 5 9 2 18 8 23 19 12 17 15 0 10 20 4 6 11 21 1 7 24 3 16 22 13,"(False, '16958598', '4870916')","(False, '17158716', '4944622')","(False, '11847271', '3410641')","(False, '16619904', '4789975')","(False, '12879570', '3705454')","(False, '12881719', '3717187')"
24_puzzle_50_instances_korf.txt,7 6 3 22 15 19 21 2 13 0 8 10 9 4 18 16 11 24 5 12 17 1 23 14 20,"(False, '15200029', '4388313')","(False, '17361800', '5006316')","(False, '17245370', '4985057')","(False, '12857141', '3701127')","(False, '17310604', '5004093')","(False, '12387905', '3566392')"
24_puzzle_50_instances_korf.txt,16 24 3 14 5 18 7 6 4 2 0 15 8 10 20 13 19 9 21 11 17 12 22 23 1,"(False, '16042340', '4635413')","(False, '11823021', '3420943')","(False, '17021482', '4915119')","(False, '13068029', '3782497')","(False, '12663863', '3670110')","(False, '13392479', '3876747')"
24_puzzle_50_instances_korf.txt,21 11 10 4 16 6 13 24 7 14 1 20 9 17 0 15 2 5 8 22 3 12 18 19 23,"(False, '12633726', '3661490')","(False, '11720251', '3391133')","(False, '12812742', '3712589')","(False, '12057248', '3488993')","(False, '13016542', '3770853')","(False, '12431992', '3597725')"
24_puzzle_50_instances_korf.txt,23 16 13 24 5 18 22 11 17 0 6 9 20 7 3 2 10 14 12 21 1 19 15 8 4,"(False, '12670038', '3650482')","(False, '12907689', '3715666')","(False, '16097449', '4650214')","(False, '17015539', '4905840')","(False, '12986027', '3742622')","(False, '12644158', '3639992')"
24_puzzle_50_instances_korf.txt,17 1 20 9 16 2 22 19 14 5 15 21 0 3 24 23 18 13 12 7 10 8 6 4 11,"(False, '12619683', '3650028')","(False, '15731469', '4542641')","(False, '11754307', '3397585')","(False, '11877174', '3423747')","(False, '13053891', '3776681')","(False, '12089458', '3485392')"
24_puzzle_50_instances_korf.txt,24 8 14 5 16 4 13 6 22 19 1 10 9 12 3 0 18 21 20 23 15 17 11 7 2,"(False, '12464974', '3590737')","(False, '16857566', '4860060')","(False, '12486735', '3597091')","(False, '17208731', '4961985')","(False, '12486199', '3596928')","(False, '13195599', '3798291')"
24_puzzle_50_instances_korf.txt,22 21 15 3 14 13 9 19 24 23 16 0 7 10 18 4 11 20 8 2 1 6 5 17 12,"(False, '12191307', '3508806')","(False, '11938593', '3446505')","(False, '12711808', '3657518')","(False, '17377560', '5007366')","(False, '12794403', '3681116')","(False, '17707877', '5102231')"
24_puzzle_50_instances_korf.txt,5 18 3 21 22 17 13 24 0 7 15 14 11 2 9 10 1 8 6 16 19 4 20 23 12,"(False, '12794124', '3709083')","(False, '12466285', '3601556')","(False, '17143611', '4975755')","(False, '17562006', '5081406')","(False, '17006432', '4936564')","(False, '13233336', '3824301')"
24_puzzle_50_instances_korf.txt,1 16 10 14 17 13 0 3 5 7 4 15 19 2 21 9 23 8 12 6 11 24 22 20 18,"(False, '12623739', '3659415')","(False, '12091333', '3493091')","(False, '12953643', '3755610')","(False, '13144911', '3799070')","(False, '17219547', '4997458')","(False, '13126632', '3793782')"
24_puzzle_50_instances_korf.txt,10 3 6 13 1 2 20 14 18 11 15 7 5 12 9 24 17 22 4 8 21 23 19 16 0,"(False, '16859331', '4843268')","(False, '12911049', '3727241')","(False, '12826263', '3690982')","(False, '17677617', '5095411')","(False, '12832680', '3692829')","(False, '13119804', '3787099')"
