pruning,,hanoi4-12_h1,hanoi4-12_h1,hanoi4-12_h0,hanoi4-12_h0,hanoi4-12_h2,hanoi4-12_h2
algorithm,,bfs,iddfs,bfs,iddfs,bfs,iddfs
file,instance,,,,,,
hanoi_4p12d.d=015,0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '3742', '642')","(True, '4514', '776')","(True, '3742', '642')","(True, '4514', '776')","(True, '3742', '642')","(True, '4514', '776')"
hanoi_4p12d.d=015,0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '50706', '8544')","(True, '60971', '10270')","(True, '50706', '8544')","(True, '60971', '10270')","(True, '50706', '8544')","(True, '60971', '10270')"
hanoi_4p12d.d=015,0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '436', '78')","(True, '530', '97')","(True, '436', '78')","(True, '530', '97')","(True, '436', '78')","(True, '530', '97')"
hanoi_4p12d.d=015,0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '51792', '8752')","(True, '62319', '10532')","(True, '51792', '8752')","(True, '62319', '10532')","(True, '51792', '8752')","(True, '62319', '10532')"
hanoi_4p12d.d=015,0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '436', '78')","(True, '530', '97')","(True, '436', '78')","(True, '530', '97')","(True, '436', '78')","(True, '530', '97')"
hanoi_4p12d.d=015,0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')"
hanoi_4p12d.d=015,0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '6500', '1132')","(True, '7869', '1373')","(True, '6500', '1132')","(True, '7869', '1373')","(True, '6500', '1132')","(True, '7869', '1373')"
hanoi_4p12d.d=015,0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '4945', '848')","(True, '5965', '1024')","(True, '4945', '848')","(True, '5965', '1024')","(True, '4945', '848')","(True, '5965', '1024')"
hanoi_4p12d.d=015,0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')"
hanoi_4p12d.d=010,0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '16662', '2903')","(True, '20179', '3522')","(True, '16662', '2903')","(True, '20179', '3522')","(True, '16662', '2903')","(True, '20179', '3522')"
hanoi_4p12d.d=010,0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '5355', '934')","(True, '6485', '1134')","(True, '5355', '934')","(True, '6485', '1134')","(True, '5355', '934')","(True, '6485', '1134')"
hanoi_4p12d.d=010,0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')"
hanoi_4p12d.d=010,0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')"
hanoi_4p12d.d=010,0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '4945', '848')","(True, '5965', '1024')","(True, '4945', '848')","(True, '5965', '1024')","(True, '4945', '848')","(True, '5965', '1024')"
hanoi_4p12d.d=010,1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '4944', '848')","(True, '5964', '1024')","(True, '4944', '848')","(True, '5964', '1024')","(True, '4944', '848')","(True, '5964', '1024')"
hanoi_4p12d.d=010,0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')"
hanoi_4p12d.d=010,0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '4945', '848')","(True, '5965', '1024')","(True, '4945', '848')","(True, '5965', '1024')","(True, '4945', '848')","(True, '5965', '1024')"
hanoi_4p12d.d=010,0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')"
hanoi_4p12d.d=010,1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '434', '78')","(True, '528', '97')","(True, '434', '78')","(True, '528', '97')","(True, '434', '78')","(True, '528', '97')"
hanoi_4p12d.d=2000,0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '13706774', '2284769')","(False, '13985796', '2331267')","(False, '12298141', '2049988')","(False, '18316124', '3053090')","(False, '13609543', '2268563')","(False, '14043553', '2340903')"
hanoi_4p12d.d=2000,0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0,"(False, '13521139', '2253526')","(False, '13923592', '2320605')","(False, '13477410', '2246240')","(False, '13834714', '2305791')","(False, '13643256', '2273878')","(False, '13924485', '2320753')"
hanoi_4p12d.d=2000,0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '16492234', '2748714')","(False, '16621494', '2770264')","(False, '17752947', '2958835')","(False, '12724156', '2120701')","(False, '12419227', '2069878')","(False, '18402662', '3067123')"
hanoi_4p12d.d=2000,0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '13458131', '2243372')","(False, '13685513', '2281248')","(False, '13297178', '2216544')","(False, '13456333', '2243052')","(False, '16525286', '2754576')","(False, '13751564', '2292257')"
hanoi_4p12d.d=2000,1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '17792025', '2965343')","(False, '17788719', '2964797')","(False, '13054147', '2175695')","(False, '13408935', '2234828')","(False, '13259059', '2209847')","(False, '17482157', '2913702')"
hanoi_4p12d.d=2000,0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '12299490', '2049918')","(False, '16962165', '2827037')","(False, '17302681', '2883787')","(False, '13366837', '2227814')","(False, '12233826', '2038974')","(False, '12674270', '2112385')"
hanoi_4p12d.d=2000,1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0,"(False, '16422841', '2737145')","(False, '13485962', '2247668')","(False, '17415943', '2902663')","(False, '13358090', '2226355')","(False, '16441009', '2740172')","(False, '13492779', '2248801')"
hanoi_4p12d.d=2000,0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0,"(False, '13362553', '2227095')","(False, '13654398', '2275738')","(False, '17121859', '2853649')","(False, '12540228', '2090045')","(False, '12274891', '2045819')","(False, '13243360', '2207234')"
hanoi_4p12d.d=2000,1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '13268449', '2211412')","(False, '17923250', '2987219')","(False, '17384485', '2897420')","(False, '12570338', '2095063')","(False, '13233895', '2205654')","(False, '13595164', '2265867')"
hanoi_4p12d.d=2000,1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '13584163', '2264030')","(False, '14022507', '2337090')","(False, '16163947', '2694001')","(False, '18029255', '3004886')","(False, '13258837', '2209811')","(False, '13700415', '2283410')"
hanoi_4p12d.d=005,1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '271', '49')","(True, '330', '62')","(True, '271', '49')","(True, '330', '62')","(True, '271', '49')","(True, '330', '62')"
hanoi_4p12d.d=005,0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')"
hanoi_4p12d.d=005,0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')"
hanoi_4p12d.d=005,0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')"
hanoi_4p12d.d=005,0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '436', '78')","(True, '530', '97')","(True, '436', '78')","(True, '530', '97')","(True, '436', '78')","(True, '530', '97')"
hanoi_4p12d.d=005,0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '1347', '232')","(True, '1625', '281')","(True, '1347', '232')","(True, '1625', '281')","(True, '1347', '232')","(True, '1625', '281')"
hanoi_4p12d.d=005,0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')"
hanoi_4p12d.d=005,0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')"
hanoi_4p12d.d=005,0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')"
hanoi_4p12d.d=005,0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '1347', '232')","(True, '1625', '281')","(True, '1347', '232')","(True, '1625', '281')","(True, '1347', '232')","(True, '1625', '281')"
