pruning,,hanoi4-14_h2,hanoi4-14_h2,hanoi4-14_h1,hanoi4-14_h1,hanoi4-14_h0,hanoi4-14_h0
algorithm,,astar,idastart,astar,idastart,astar,idastart
file,instance,,,,,,
hanoi_4p14d.d=2000000,0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '0', '0')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')"
hanoi_4p14d.d=2000000,0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0,"(False, '0', '0')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')"
hanoi_4p14d.d=2000000,0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1,"(False, '0', '0')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')"
hanoi_4p14d.d=2000000,0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1,"(False, '0', '0')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')"
hanoi_4p14d.d=2000000,0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0,"(False, '0', '0')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')"
hanoi_4p14d.d=2000000,0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1,"(False, '0', '0')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')"
hanoi_4p14d.d=2000000,0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1,"(False, '0', '0')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')"
hanoi_4p14d.d=2000000,0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1,"(False, '0', '0')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')"
hanoi_4p14d.d=2000000,0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0,"(False, '0', '0')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')"
hanoi_4p14d.d=2000000,0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0,"(False, '0', '0')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')"
hanoi_4p14d.d=015,0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '0', '0')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')","(False, '4', '14')","(False, '0', '0')"
