pruning,,rubik3_h0,rubik3_h0,rubik3_h2,rubik3_h2,rubik3_h1,rubik3_h1
algorithm,,bfs,iddfs,bfs,iddfs,bfs,iddfs
file,instance,,,,,,
rubik3.d=160,BLUE GREEN BLUE ORANGE WHITE YELLOW RED ORANGE ORANGE RED ORANGE GREEN GREEN BLUE YELLOW BLUE WHITE BLUE WHITE BLUE RED WHITE RED YELLOW YELLOW GREEN BLUE WHITE BLUE WHITE YELLOW RED YELLOW RED ORANGE WHITE ORANGE YELLOW RED RED WHITE ORANGE GREEN GREEN GREEN ORANGE GREEN YELLOW,"(False, '15044095', '835784')","(False, '14849547', '824978')","(False, '14375251', '798627')","(False, '16079755', '893323')","(False, '21617641', '1200983')","(False, '16740392', '930025')"
rubik3.d=160,GREEN WHITE RED WHITE YELLOW RED BLUE ORANGE WHITE BLUE GREEN WHITE YELLOW BLUE WHITE ORANGE BLUE ORANGE WHITE YELLOW ORANGE ORANGE ORANGE GREEN RED GREEN RED BLUE YELLOW BLUE GREEN YELLOW GREEN YELLOW ORANGE RED BLUE YELLOW YELLOW RED ORANGE GREEN RED RED BLUE WHITE WHITE GREEN,"(False, '19288383', '1071578')","(False, '15454626', '858594')","(False, '14678191', '815456')","(False, '16162377', '897915')","(False, '15154597', '841924')","(False, '16251267', '902852')"
rubik3.d=160,BLUE GREEN YELLOW BLUE BLUE GREEN GREEN YELLOW GREEN YELLOW YELLOW GREEN WHITE RED BLUE RED RED ORANGE GREEN GREEN GREEN BLUE WHITE RED RED BLUE ORANGE YELLOW WHITE ORANGE ORANGE WHITE RED BLUE YELLOW YELLOW ORANGE ORANGE RED WHITE ORANGE WHITE WHITE RED BLUE WHITE YELLOW ORANGE,"(False, '15465457', '859194')","(False, '16002548', '889034')","(False, '15885487', '882529')","(False, '14202181', '789015')","(False, '21448811', '1191603')","(False, '16231903', '901778')"
rubik3.d=160,BLUE YELLOW YELLOW BLUE BLUE YELLOW BLUE GREEN RED RED ORANGE RED RED BLUE YELLOW ORANGE ORANGE RED WHITE GREEN YELLOW ORANGE RED GREEN WHITE RED GREEN GREEN ORANGE WHITE GREEN BLUE YELLOW WHITE WHITE WHITE WHITE BLUE BLUE ORANGE GREEN YELLOW RED ORANGE GREEN WHITE ORANGE YELLOW,"(False, '15803738', '877987')","(False, '16012498', '889588')","(False, '12519679', '695539')","(False, '11475983', '637558')","(False, '16035841', '890882')","(False, '16643606', '924649')"
rubik3.d=160,GREEN GREEN BLUE ORANGE YELLOW WHITE GREEN YELLOW WHITE YELLOW ORANGE BLUE ORANGE ORANGE BLUE BLUE RED RED GREEN GREEN ORANGE RED YELLOW WHITE ORANGE ORANGE BLUE GREEN YELLOW BLUE WHITE ORANGE RED YELLOW GREEN WHITE BLUE RED YELLOW RED WHITE YELLOW RED WHITE RED BLUE WHITE GREEN,"(False, '14496175', '805345')","(False, '16289060', '904951')","(False, '17895805', '994215')","(False, '18707762', '1039326')","(False, '16159087', '897729')","(False, '20409159', '1133847')"
rubik3.d=160,WHITE BLUE YELLOW ORANGE BLUE BLUE GREEN BLUE YELLOW GREEN RED YELLOW ORANGE WHITE ORANGE YELLOW RED YELLOW RED WHITE ORANGE RED BLUE RED ORANGE GREEN GREEN GREEN WHITE YELLOW GREEN RED WHITE WHITE YELLOW GREEN YELLOW RED BLUE WHITE GREEN ORANGE RED ORANGE BLUE BLUE WHITE ORANGE,"(False, '20935292', '1163074')","(False, '16491580', '916203')","(False, '13649761', '758321')","(False, '12336432', '685362')","(False, '21445093', '1191396')","(False, '15253347', '847412')"
rubik3.d=160,YELLOW RED BLUE ORANGE ORANGE GREEN WHITE GREEN RED RED RED RED ORANGE WHITE YELLOW RED GREEN BLUE GREEN ORANGE BLUE GREEN BLUE YELLOW RED ORANGE BLUE BLUE GREEN WHITE RED YELLOW GREEN BLUE WHITE BLUE ORANGE YELLOW YELLOW WHITE WHITE ORANGE WHITE YELLOW ORANGE WHITE YELLOW GREEN,"(False, '15822901', '879052')","(False, '21762376', '1209025')","(False, '19576081', '1087562')","(False, '16390683', '910598')","(False, '15825205', '879179')","(False, '21962048', '1220119')"
rubik3.d=160,BLUE RED BLUE ORANGE RED GREEN GREEN WHITE ORANGE YELLOW WHITE YELLOW YELLOW YELLOW ORANGE RED GREEN ORANGE WHITE ORANGE ORANGE RED YELLOW WHITE RED BLUE ORANGE BLUE GREEN GREEN BLUE GREEN WHITE BLUE WHITE BLUE RED RED GREEN GREEN BLUE ORANGE YELLOW WHITE RED YELLOW YELLOW WHITE,"(False, '19601011', '1088947')","(False, '15287976', '849335')","(False, '15538530', '863253')","(False, '16458551', '914369')","(False, '15947875', '885995')","(False, '15137786', '840992')"
rubik3.d=160,YELLOW BLUE GREEN YELLOW WHITE WHITE BLUE RED BLUE ORANGE YELLOW ORANGE ORANGE WHITE ORANGE BLUE WHITE RED RED BLUE BLUE GREEN WHITE RED ORANGE ORANGE BLUE BLUE YELLOW RED GREEN GREEN GREEN YELLOW RED ORANGE ORANGE WHITE RED GREEN WHITE WHITE YELLOW YELLOW RED GREEN GREEN YELLOW,"(False, '15126595', '840368')","(False, '16430476', '912808')","(False, '16085629', '893647')","(False, '14643788', '813548')","(False, '15619069', '867727')","(False, '20170943', '1120613')"
rubik3.d=160,YELLOW YELLOW BLUE ORANGE ORANGE WHITE ORANGE BLUE RED RED BLUE GREEN BLUE WHITE WHITE YELLOW WHITE BLUE YELLOW ORANGE RED RED GREEN YELLOW RED YELLOW ORANGE BLUE ORANGE RED WHITE WHITE GREEN ORANGE GREEN GREEN YELLOW WHITE WHITE RED RED BLUE GREEN GREEN YELLOW GREEN BLUE ORANGE,"(False, '15388489', '854918')","(False, '16563831', '920217')","(False, '19957537', '1108754')","(False, '16554228', '919683')","(False, '14766481', '820367')","(False, '16108039', '894894')"
rubik3.d=005,RED GREEN GREEN GREEN BLUE YELLOW WHITE WHITE GREEN ORANGE WHITE RED ORANGE YELLOW YELLOW BLUE WHITE WHITE BLUE WHITE GREEN GREEN BLUE WHITE YELLOW ORANGE GREEN GREEN BLUE BLUE RED BLUE YELLOW RED ORANGE ORANGE ORANGE RED RED YELLOW WHITE ORANGE ORANGE YELLOW YELLOW BLUE RED RED,"(True, '1577629', '87646')","(True, '1670428', '92803')","(True, '1577629', '87646')","(True, '1670428', '92803')","(True, '1577629', '87646')","(True, '1670428', '92803')"
rubik3.d=005,ORANGE ORANGE RED WHITE WHITE WHITE RED GREEN GREEN GREEN GREEN BLUE BLUE ORANGE GREEN GREEN BLUE RED RED RED YELLOW YELLOW ORANGE ORANGE YELLOW BLUE ORANGE ORANGE YELLOW YELLOW YELLOW YELLOW ORANGE BLUE BLUE GREEN GREEN WHITE WHITE RED WHITE WHITE WHITE BLUE BLUE YELLOW RED RED,"(True, '75259', '4181')","(True, '79684', '4428')","(True, '75259', '4181')","(True, '79684', '4428')","(True, '75259', '4181')","(True, '79684', '4428')"
rubik3.d=005,RED YELLOW ORANGE BLUE RED RED RED RED ORANGE RED WHITE ORANGE GREEN ORANGE GREEN ORANGE GREEN WHITE BLUE BLUE BLUE RED ORANGE GREEN BLUE BLUE YELLOW BLUE YELLOW YELLOW YELLOW ORANGE YELLOW YELLOW RED WHITE WHITE WHITE ORANGE YELLOW BLUE GREEN WHITE WHITE WHITE GREEN GREEN GREEN,"(True, '3497653', '194314')","(True, '3703395', '205747')","(True, '3497653', '194314')","(True, '3703395', '205747')","(True, '3497653', '194314')","(True, '3703395', '205747')"
rubik3.d=005,RED RED RED ORANGE GREEN YELLOW YELLOW YELLOW ORANGE YELLOW GREEN ORANGE ORANGE WHITE WHITE BLUE ORANGE ORANGE RED RED GREEN GREEN BLUE WHITE GREEN ORANGE BLUE BLUE YELLOW BLUE BLUE GREEN RED RED YELLOW YELLOW ORANGE WHITE WHITE RED WHITE WHITE WHITE GREEN BLUE GREEN YELLOW BLUE,"(True, '3225745', '179208')","(True, '3415492', '189752')","(True, '3225745', '179208')","(True, '3415492', '189752')","(True, '3225745', '179208')","(True, '3415492', '189752')"
rubik3.d=005,BLUE BLUE RED RED RED RED RED YELLOW BLUE BLUE GREEN WHITE BLUE BLUE GREEN BLUE YELLOW WHITE WHITE ORANGE YELLOW YELLOW BLUE YELLOW YELLOW ORANGE ORANGE ORANGE ORANGE RED YELLOW YELLOW GREEN GREEN ORANGE GREEN GREEN GREEN RED RED WHITE ORANGE ORANGE GREEN WHITE WHITE WHITE WHITE,"(True, '96607', '5367')","(True, '102288', '5684')","(True, '96607', '5367')","(True, '102288', '5684')","(True, '96607', '5367')","(True, '102288', '5684')"
rubik3.d=005,RED GREEN GREEN GREEN ORANGE GREEN GREEN GREEN GREEN BLUE WHITE WHITE GREEN WHITE WHITE BLUE RED RED BLUE BLUE BLUE BLUE BLUE RED YELLOW ORANGE RED RED YELLOW RED RED ORANGE WHITE WHITE ORANGE ORANGE ORANGE ORANGE ORANGE WHITE BLUE YELLOW YELLOW YELLOW WHITE YELLOW YELLOW YELLOW,"(True, '56809', '3156')","(True, '60149', '3343')","(True, '56809', '3156')","(True, '60149', '3343')","(True, '56809', '3156')","(True, '60149', '3343')"
rubik3.d=005,BLUE RED RED GREEN RED RED RED YELLOW YELLOW ORANGE ORANGE YELLOW BLUE BLUE GREEN YELLOW ORANGE ORANGE BLUE YELLOW YELLOW RED WHITE WHITE GREEN BLUE GREEN GREEN YELLOW ORANGE YELLOW GREEN BLUE BLUE ORANGE GREEN GREEN RED RED WHITE WHITE ORANGE WHITE WHITE ORANGE BLUE WHITE WHITE,"(False, '15457560', '858755')","(False, '16688953', '927169')","(False, '15947515', '885974')","(False, '15892883', '882941')","(False, '15901363', '883410')","(True, '17167653', '953761')"
rubik3.d=005,RED ORANGE ORANGE YELLOW WHITE ORANGE GREEN RED GREEN BLUE WHITE WHITE BLUE BLUE YELLOW YELLOW YELLOW YELLOW BLUE BLUE BLUE ORANGE ORANGE WHITE ORANGE BLUE RED RED YELLOW GREEN GREEN WHITE ORANGE RED RED GREEN WHITE GREEN GREEN YELLOW WHITE GREEN RED RED BLUE ORANGE YELLOW WHITE,"(True, '10832833', '601824')","(True, '11470056', '637228')","(True, '10832833', '601824')","(True, '11470056', '637228')","(True, '10832833', '601824')","(True, '11470056', '637228')"
rubik3.d=005,RED RED RED BLUE BLUE GREEN YELLOW YELLOW YELLOW YELLOW GREEN GREEN GREEN BLUE RED RED ORANGE ORANGE WHITE WHITE BLUE BLUE BLUE RED GREEN ORANGE WHITE WHITE YELLOW YELLOW YELLOW GREEN RED BLUE BLUE WHITE ORANGE ORANGE ORANGE RED WHITE WHITE WHITE ORANGE ORANGE GREEN GREEN YELLOW,"(True, '88309', '4906')","(True, '93502', '5196')","(True, '88309', '4906')","(True, '93502', '5196')","(True, '88309', '4906')","(True, '93502', '5196')"
rubik3.d=005,RED BLUE WHITE WHITE ORANGE YELLOW YELLOW YELLOW GREEN GREEN YELLOW YELLOW GREEN WHITE WHITE ORANGE ORANGE RED RED RED BLUE BLUE BLUE ORANGE YELLOW BLUE RED RED GREEN GREEN GREEN GREEN WHITE WHITE BLUE BLUE ORANGE ORANGE ORANGE WHITE BLUE RED RED ORANGE WHITE YELLOW YELLOW GREEN,"(True, '917875', '50993')","(True, '971865', '53994')","(True, '917875', '50993')","(True, '971865', '53994')","(True, '917875', '50993')","(True, '971865', '53994')"
rubik3.d=015,ORANGE BLUE RED GREEN YELLOW GREEN ORANGE ORANGE BLUE BLUE RED WHITE WHITE WHITE GREEN BLUE YELLOW YELLOW WHITE RED BLUE YELLOW BLUE RED WHITE GREEN WHITE ORANGE RED ORANGE BLUE RED YELLOW WHITE ORANGE YELLOW RED GREEN GREEN RED YELLOW ORANGE GREEN YELLOW ORANGE WHITE GREEN BLUE,"(False, '20128263', '1118238')","(False, '16534100', '918566')","(False, '14981311', '832296')","(False, '16633453', '924084')","(False, '16123717', '895764')","(False, '16491446', '916195')"
rubik3.d=015,GREEN ORANGE ORANGE WHITE RED RED RED WHITE YELLOW GREEN ORANGE ORANGE YELLOW BLUE ORANGE YELLOW RED RED GREEN BLUE RED RED WHITE ORANGE ORANGE YELLOW BLUE ORANGE GREEN GREEN BLUE YELLOW BLUE BLUE YELLOW GREEN BLUE WHITE WHITE BLUE WHITE GREEN GREEN RED WHITE YELLOW YELLOW WHITE,"(False, '14984749', '832487')","(False, '16586359', '921468')","(False, '15744583', '874701')","(False, '20644078', '1146898')","(False, '16000716', '888930')","(False, '16542580', '919035')"
rubik3.d=015,BLUE ORANGE WHITE YELLOW WHITE BLUE BLUE YELLOW YELLOW RED ORANGE ORANGE ORANGE GREEN GREEN YELLOW BLUE GREEN GREEN RED RED YELLOW WHITE BLUE GREEN WHITE YELLOW ORANGE GREEN BLUE ORANGE RED RED WHITE RED WHITE BLUE GREEN ORANGE ORANGE RED RED YELLOW GREEN WHITE WHITE YELLOW BLUE,"(False, '19870759', '1103934')","(False, '16228262', '901574')","(False, '14936743', '829821')","(False, '15642928', '869056')","(False, '21427381', '1190413')","(False, '15023783', '834659')"
rubik3.d=015,WHITE GREEN YELLOW WHITE BLUE BLUE WHITE YELLOW YELLOW GREEN RED RED RED WHITE GREEN YELLOW RED RED ORANGE ORANGE ORANGE YELLOW ORANGE ORANGE YELLOW WHITE WHITE BLUE GREEN YELLOW YELLOW ORANGE BLUE WHITE WHITE BLUE BLUE GREEN ORANGE ORANGE BLUE BLUE GREEN RED RED RED GREEN GREEN,"(False, '15674113', '870785')","(False, '21429377', '1190525')","(False, '15493807', '860768')","(False, '21521088', '1195621')","(False, '16123411', '895747')","(False, '19973887', '1109664')"
rubik3.d=015,BLUE GREEN GREEN YELLOW ORANGE YELLOW RED RED YELLOW WHITE WHITE YELLOW YELLOW BLUE GREEN WHITE BLUE ORANGE YELLOW RED WHITE BLUE ORANGE ORANGE WHITE YELLOW RED RED ORANGE GREEN BLUE WHITE GREEN BLUE ORANGE GREEN YELLOW BLUE BLUE ORANGE RED RED GREEN ORANGE RED GREEN WHITE WHITE,"(False, '15633235', '868515')","(False, '16078026', '893227')","(False, '14522401', '806823')","(False, '14911641', '828428')","(False, '21164865', '1175828')","(False, '15579862', '865551')"
