pruning,15-puzzle_h2,15-puzzle_h2,15-puzzle_h0,15-puzzle_h0,15-puzzle_h1,15-puzzle_h1
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,100.0,100.0,100.0,100.0,100.0,100.0
mean,4620991.48,4652295.8,4470656.97,4561121.1,4443126.96,4565334.39
std,680884.26,681823.74,616500.82,647971.09,624659.54,671967.91
min,3916481.0,4007145.0,3759262.0,3721949.0,3281851.0,3532204.0
25%,4073432.5,4155024.75,4023380.75,4113462.25,3984223.75,4061325.0
50%,4311265.5,4324129.5,4200485.5,4282238.5,4162065.0,4270292.0
75%,5343368.25,5424798.25,5181381.0,4620512.0,5102949.25,5287804.5
max,5829077.0,5955792.0,5797844.0,5927764.0,5749540.0,5922601.0
