pruning,algorithm,info,15puzzle100instanceskorf.txt
h0,bfs,f,0
h0,iddfs,f,0
h0,astar,f,0
h0,idastar,f,0
h1,bfs,f,0
h1,iddfs,f,0
h1,astar,f,0
h1,idastar,f,0
h0,bfs,g,E7
h0,iddfs,g,E7
h0,astar,g,E6
h0,idastar,g,E7
h1,bfs,g,E7
h1,iddfs,g,E7
h1,astar,g,E6
h1,idastar,g,E7
h0,bfs,e,E7
h0,iddfs,e,E7
h0,astar,e,E6
h0,idastar,e,E7
h1,bfs,e,E7
h1,iddfs,e,E7
h1,astar,e,E6
h1,idastar,e,E7
h0,bfs,d,15.6
h0,iddfs,d,15.6
h0,astar,d,48
h0,idastar,d,42.6
h1,bfs,d,15.6
h1,iddfs,d,15.6
h1,astar,d,48
h1,idastar,d,42.6
h0,bfs,t,17.46
h0,iddfs,t,18.65
h0,astar,t,24.21
h0,idastar,t,62.71
h1,bfs,t,18.68
h1,iddfs,t,19.06
h1,astar,t,25.06
h1,idastar,t,59.43
