pruning,algorithm,info,15puzzle100instanceskorf.txt
15-puzzleh0,astar,f,0.4
15-puzzleh0,idastar,f,0
15-puzzleh1,astar,f,0.4
15-puzzleh1,idastar,f,0
15-puzzleh0,astar,g,E6
15-puzzleh0,idastar,g,E7
15-puzzleh1,astar,g,E6
15-puzzleh1,idastar,g,E7
15-puzzleh0,astar,e,E6
15-puzzleh0,idastar,e,E7
15-puzzleh1,astar,e,E6
15-puzzleh1,idastar,e,E7
15-puzzleh0,astar,d,52.4
15-puzzleh0,idastar,d,44
15-puzzleh1,astar,d,52.4
15-puzzleh1,idastar,d,44
15-puzzleh0,astar,t,18.12
15-puzzleh0,idastar,t,27.98
15-puzzleh1,astar,t,18.7
15-puzzleh1,idastar,t,27.44
