pruning,algorithm,info,hanoi4p12d.d=5,hanoi4p12d.d=10,hanoi4p12d.d=15,hanoi4p12d.d=2E+3,hanoi4p12d.d=E6
24-puzzleh1,bfs,f,0,0,0,0,0
24-puzzleh1,iddfs,f,0,0,0,0,0
24-puzzleh1,astar,f,0,0,0,0,0
24-puzzleh1,idastar,f,0,0,0,0,0
24-puzzleh0,bfs,f,0,0,0,0,0
24-puzzleh0,iddfs,f,0,0,0,0,0
24-puzzleh0,astar,f,0,0,0,0,0
24-puzzleh0,idastar,f,0,0,0,0,0
24-puzzleh1,bfs,g,E7,E7,E7,E7,E7
24-puzzleh1,iddfs,g,E7,E7,E7,E8,E8
24-puzzleh1,astar,g,E7,E7,E7,E7,E7
24-puzzleh1,idastar,g,E7,E7,E7,E7,E7
24-puzzleh0,bfs,g,E7,E7,E7,E7,E7
24-puzzleh0,iddfs,g,E7,E7,E7,E8,E8
24-puzzleh0,astar,g,E7,E7,E7,E7,E7
24-puzzleh0,idastar,g,E7,E7,E7,E7,E7
24-puzzleh1,bfs,e,E6,E6,E6,E6,E6
24-puzzleh1,iddfs,e,E6,E6,E6,E6,E6
24-puzzleh1,astar,e,E5,E5,E5,E5,E5
24-puzzleh1,idastar,e,E6,E6,E6,E6,E6
24-puzzleh0,bfs,e,E6,E6,E6,E6,E6
24-puzzleh0,iddfs,e,E6,E6,E6,E6,E6
24-puzzleh0,astar,e,E5,E5,E5,E5,E5
24-puzzleh0,idastar,e,E6,E6,E6,E6,E6
24-puzzleh1,bfs,d,5,5,5,5,5
24-puzzleh1,iddfs,d,5,5,5,5,5
24-puzzleh1,astar,d,15,14,13,20,18
24-puzzleh1,idastar,d,5,6,6,5,6
24-puzzleh0,bfs,d,5,5,5,5,5
24-puzzleh0,iddfs,d,5,5,5,5,5
24-puzzleh0,astar,d,15,14,13,20,18
24-puzzleh0,idastar,d,5,6,6,5,6
24-puzzleh1,bfs,t,56.47,56.35,67.41,63.14,61.54
24-puzzleh1,iddfs,t,64.85,70.64,58.08,57.43,60.12
24-puzzleh1,astar,t,100.23,110.13,104.9,89.04,92.04
24-puzzleh1,idastar,t,199.38,199.7,204.99,201.86,198.87
24-puzzleh0,bfs,t,57.43,63.42,57.44,66.25,55.91
24-puzzleh0,iddfs,t,64.42,62.33,60.67,66.26,66.27
24-puzzleh0,astar,t,102.2,103.74,102.4,90.65,91.67
24-puzzleh0,idastar,t,198.09,201.31,199.14,201.87,200.02
