pruning,hanoi4-14_h2,hanoi4-14_h2,hanoi4-14_h1,hanoi4-14_h1,hanoi4-14_h0,hanoi4-14_h0
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,47.0,47.0,47.0,47.0,47.0,47.0
mean,969364.55,1050374.96,997317.4,1066300.62,974170.7,948092.94
std,1135143.71,1238566.2,1174313.97,1251544.1,1146122.89,1095161.78
min,1.0,2.0,1.0,2.0,1.0,2.0
25%,78.0,97.0,78.0,97.0,78.0,97.0
50%,8311.0,9993.0,8311.0,9993.0,8311.0,9993.0
75%,2116306.0,2170410.5,2136374.5,2220990.0,2080020.5,2191644.5
max,2813423.0,3024129.0,2889876.0,3013315.0,2923138.0,2730315.0
