pruning,hanoi4-14_h2,hanoi4-14_h2,hanoi4-14_h1,hanoi4-14_h1,hanoi4-14_h0,hanoi4-14_h0
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,47.0,47.0,47.0,47.0,47.0,47.0
mean,5813755.94,6298847.94,5981333.04,6394653.19,5842683.94,5685871.23
std,6809310.0,7427305.87,7044089.56,7506268.92,6875398.59,6569140.38
min,6.0,7.0,6.0,7.0,6.0,7.0
25%,436.0,530.0,436.0,530.0,436.0,530.0
50%,49246.0,59234.0,49246.0,59234.0,49246.0,59234.0
75%,12697792.0,13022423.5,12815217.5,13325891.5,12480102.0,13149770.5
max,16880509.0,18021885.0,17339221.0,18079829.0,17538167.0,16374585.0
