pruning,algorithm,info,hanoi4p18d.d=5,hanoi4p18d.d=10,hanoi4p18d.d=15,hanoi4p18d.d=2E+3,hanoi4p18d.d=E6
hanoi4-18h0,bfs,f,1,1,1,0,0
hanoi4-18h0,iddfs,f,1,1,1,0,0
hanoi4-18h0,astar,f,1,1,1,1,0
hanoi4-18h0,idastar,f,1,1,1,1,0
hanoi4-18h1,bfs,f,1,1,1,0,0
hanoi4-18h1,iddfs,f,1,1,1,0,0
hanoi4-18h1,astar,f,1,1,1,1,0
hanoi4-18h1,idastar,f,1,1,1,1,0
hanoi4-18h0,bfs,g,436,4945,E6,E7,E7
hanoi4-18h0,iddfs,g,530,5965,E6,E7,E7
hanoi4-18h0,astar,g,16,34,69,261,E6
hanoi4-18h0,idastar,g,7,14,32,97,E7
hanoi4-18h1,bfs,g,436,4945,E6,E7,E7
hanoi4-18h1,iddfs,g,530,5965,E6,E7,E7
hanoi4-18h1,astar,g,16,34,69,261,E6
hanoi4-18h1,idastar,g,7,14,32,97,E7
hanoi4-18h0,bfs,e,78,848,E5,E6,E6
hanoi4-18h0,iddfs,e,97,1024,E6,E6,E6
hanoi4-18h0,astar,e,3,6,12,44,E6
hanoi4-18h0,idastar,e,3,4,8,21,E6
hanoi4-18h1,bfs,e,78,848,E5,E6,E6
hanoi4-18h1,iddfs,e,97,1024,E6,E6,E6
hanoi4-18h1,astar,e,3,6,12,44,E6
hanoi4-18h1,idastar,e,3,4,8,21,E6
hanoi4-18h0,bfs,d,4,5,9,10,10
hanoi4-18h0,iddfs,d,4,5,9,10,10
hanoi4-18h0,astar,d,3,4,8,21,60
hanoi4-18h0,idastar,d,3,4,8,21,19
hanoi4-18h1,bfs,d,4,5,9,10,10
hanoi4-18h1,iddfs,d,4,5,9,10,10
hanoi4-18h1,astar,d,3,4,8,21,60
hanoi4-18h1,idastar,d,3,4,8,21,19
hanoi4-18h0,bfs,t,1,1,2.04,14.04,8.32
hanoi4-18h0,iddfs,t,1,1,2.04,14.42,8.32
hanoi4-18h0,astar,t,1.02,1.02,1.02,1.02,38.16
hanoi4-18h0,idastar,t,1.02,1.02,1.02,1.02,55.82
hanoi4-18h1,bfs,t,1,1,2.04,13.97,14.57
hanoi4-18h1,iddfs,t,1,1,2.04,14.66,14.8
hanoi4-18h1,astar,t,1.02,1.02,1.02,1.02,36.49
hanoi4-18h1,idastar,t,1.02,1.02,1.02,1.02,52.32
