pruning,rubik3_h0,rubik3_h0,rubik3_h2,rubik3_h2,rubik3_h1,rubik3_h1
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,70.0,70.0,70.0,70.0,70.0,70.0
mean,820254.73,826808.14,823240.09,847666.94,850404.24,833730.01
std,321558.26,318588.35,326587.58,336560.77,337390.84,322163.74
min,3156.0,3343.0,3156.0,3343.0,3156.0,3343.0
25%,819987.75,849430.75,815922.5,838214.75,821318.0,847298.25
50%,866011.0,889922.5,879779.0,911474.5,887567.5,906138.0
75%,1062164.0,918560.75,903185.0,1012592.75,1095121.25,920150.75
max,1181791.0,1223893.0,1203528.0,1235718.0,1200983.0,1228903.0
