pruning,rubik3_h0,rubik3_h0,rubik3_h2,rubik3_h2,rubik3_h1,rubik3_h1
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,70.0,70.0,70.0,70.0,70.0,70.0
mean,14764553.26,14882477.16,14818288.16,15257927.57,15307246.01,15007067.53
std,5788033.54,5734573.2,5878563.53,6058077.33,6073021.05,5798931.07
min,56809.0,60149.0,56809.0,60149.0,56809.0,60149.0
25%,14759762.5,15289696.0,14686588.0,15087487.5,14783621.5,15251289.25
50%,15588163.0,16018539.0,15835987.0,16406463.0,15976190.5,16310406.5
75%,19118917.0,16534009.5,16257295.0,18226573.25,19712134.0,16562645.75
max,21272185.0,22029978.0,21663469.0,22242845.0,21617641.0,22120164.0
