pruning,topspin_12_4_h2,topspin_12_4_h2,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h0,topspin_12_4_h0
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,50.0,50.0,50.0,50.0,50.0,50.0
mean,1355136.98,1347583.74,1313095.58,1313258.32,1327399.84,1330165.2
std,753270.65,738837.28,722499.97,717020.0,734938.94,727924.94
min,12997.0,14181.0,12997.0,14181.0,12997.0,14181.0
25%,1388413.0,1475218.5,1423919.5,1489036.0,1452815.25,1468326.5
50%,1564077.5,1592247.5,1552726.0,1566186.5,1524333.5,1558611.0
75%,1966236.75,1671739.0,1589842.25,1619921.25,1870779.5,1674036.75
max,2177074.0,2200848.0,2106867.0,2186068.0,2209494.0,2245985.0
