pruning,topspin_14_4_h2,topspin_14_4_h2,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h0,topspin_14_4_h0
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,50.0,50.0,50.0,50.0,50.0,50.0
mean,17908155.84,18173417.46,17902079.08,18503463.6,18097139.9,18584250.68
std,7945544.48,7991414.91,7948032.09,8073362.16,7991813.39,8043527.23
min,966155.0,1040473.0,966155.0,1040473.0,966155.0,1040473.0
25%,18041819.25,18607743.75,18363073.0,18932787.25,18683533.0,19222408.25
50%,19315979.5,19477407.5,19654272.0,20119412.5,19730535.0,20206678.0
75%,24808679.75,24378376.75,23938448.5,25215002.25,24591129.25,25441081.0
max,26951723.0,27543857.0,26953249.0,27308468.0,27694518.0,27304697.0
