pruning,topspin_14_4_h2,topspin_14_4_h2,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h0,topspin_14_4_h0
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,50.0,50.0,50.0,50.0,50.0,50.0
mean,10872747.74,11905100.82,10882484.58,11941475.28,9686961.18,10510112.78
std,5660476.92,6203744.09,5676292.1,6227113.98,5057262.67,5530190.66
min,69011.0,74323.0,69011.0,74323.0,69011.0,74323.0
25%,12962046.0,14106087.75,12479153.25,13820335.5,11302314.75,11843052.75
50%,13778467.0,15004694.0,13924975.5,15206563.5,11744549.0,12756701.0
75%,14102448.75,15511137.0,14181984.5,15529878.0,12592631.5,13875788.5
max,14421084.0,15847116.0,14479986.0,15880549.0,13852444.0,15320678.0
