pruning,topspin_14_4_h2,topspin_14_4_h2,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h0,topspin_14_4_h0
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,50.0,50.0,50.0,50.0,50.0,50.0
mean,152217874.66,166669760.34,152354344.7,167170722.04,135616915.36,147140476.84
std,79246398.33,86851656.04,79467856.0,87173884.61,70801381.44,77422044.91
min,966155.0,1040473.0,966155.0,1040473.0,966155.0,1040473.0
25%,181468592.5,197452074.25,174708069.75,193484058.25,158232301.25,165802651.25
50%,192898427.0,210065379.0,194948377.0,212891118.5,164423239.0,178592438.0
75%,197434220.0,217155807.0,198547784.0,217417343.0,176296499.0,194260262.25
max,201895072.0,221857176.0,202718671.0,222327545.0,193934134.0,214489420.0
