pruning,algorithm,info,topspin_17_4.d=005,topspin_17_4.d=010,topspin_17_4.d=015,topspin_17_4.d=2000,topspin_17_4.d=2000000
topspin_17_4_h0,bfs,f,1.0,0.0,0.0,0.0,0.0
topspin_17_4_h0,iddfs,f,1.0,0.0,0.0,0.0,0.0
topspin_17_4_h0,astar,f,1.0,1.0,0.6,0.0,0.0
topspin_17_4_h0,idastar,f,1.0,0.9,0.0,0.0,0.0
topspin_17_4_h1,bfs,f,1.0,0.0,0.0,0.0,0.0
topspin_17_4_h1,iddfs,f,1.0,0.0,0.0,0.0,0.0
topspin_17_4_h1,astar,f,1.0,1.0,0.6,0.0,0.0
topspin_17_4_h1,idastar,f,1.0,0.9,0.0,0.0,0.0
topspin_17_4_h0,bfs,g,7888878.2,92201682.1,92464278.5,92298975.4,92446369.8
topspin_17_4_h0,iddfs,g,8381929.7,98679837.5,98981146.9,98738303.7,98911404.8
topspin_17_4_h0,astar,g,3556.4,1572860.4,19276721.6,33672923.0,33629549.2
topspin_17_4_h0,idastar,g,7844.3,18681341.3,96983523.3,97039831.3,97060273.8
topspin_17_4_h1,bfs,g,7888878.2,92189597.2,92407943.1,92272642.3,92358522.4
topspin_17_4_h1,iddfs,g,8381929.7,98685611.2,98881319.0,98715013.5,98805977.8
topspin_17_4_h1,astar,g,3556.4,1668381.7,18882360.4,33630424.6,33615597.3
topspin_17_4_h1,idastar,g,7844.3,18694511.0,96957674.0,96936609.6,96974612.0
topspin_17_4_h0,bfs,e,464051.6,5423628.9,5439075.3,5429351.6,5438021.8
topspin_17_4_h0,iddfs,e,493056.3,5804699.5,5822423.5,5808139.0,5818321.3
topspin_17_4_h0,astar,e,209.2,92521.2,1133924.9,1980760.2,1978209.0
topspin_17_4_h0,idastar,e,463.1,1098906.4,5704918.5,5708230.3,5709433.8
topspin_17_4_h1,bfs,e,464051.6,5422917.9,5435761.5,5427802.7,5432854.6
topspin_17_4_h1,iddfs,e,493056.3,5805039.5,5816551.7,5806769.4,5812119.6
topspin_17_4_h1,astar,e,209.2,98140.1,1110727.2,1978260.4,1977388.4
topspin_17_4_h1,idastar,e,463.1,1099681.4,5703397.2,5702158.0,5704394.5
topspin_17_4_h0,bfs,t,2.13,17.25,17.35,16.99,17.48
topspin_17_4_h0,iddfs,t,2.13,18.16,18.08,17.86,18.41
topspin_17_4_h0,astar,t,1.01,3.73,37.02,62.71,63.53
topspin_17_4_h0,idastar,t,1.01,15.16,76.24,77.45,77.08
topspin_17_4_h1,bfs,t,2.03,17.11,17.06,16.89,17.05
topspin_17_4_h1,iddfs,t,2.13,17.49,18.01,17.61,17.67
topspin_17_4_h1,astar,t,1.01,4.03,36.62,62.84,62.25
topspin_17_4_h1,idastar,t,1.01,15.58,76.51,76.55,76.87
