pruning,,topspin_12_4_h2,topspin_12_4_h2,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h0,topspin_12_4_h0
algorithm,,bfs,iddfs,bfs,iddfs,bfs,iddfs
file,instance,,,,,,
topspin_12_4.d=2000,9 0 7 10 4 8 2 6 1 3 5 11,"(False, '23404153', '1950352')","(False, '18400461', '1533378')","(False, '18656377', '1554700')","(False, '17840705', '1486731')","(False, '17787193', '1482269')","(False, '18105000', '1508757')"
topspin_12_4.d=2000,3 0 6 7 8 1 5 4 10 2 9 11,"(False, '18992017', '1582672')","(False, '19316432', '1609708')","(False, '25202233', '2100191')","(False, '24967764', '2080654')","(False, '18601297', '1550110')","(False, '23846634', '1987227')"
topspin_12_4.d=2000,9 6 10 3 1 7 4 0 8 5 2 11,"(False, '17630869', '1469242')","(False, '24370756', '2030904')","(False, '18669457', '1555791')","(False, '17978751', '1498235')","(False, '18295405', '1524621')","(False, '25176226', '2098025')"
topspin_12_4.d=2000,0 7 3 5 4 9 10 8 6 1 2 11,"(False, '17825904', '1485495')","(False, '19466545', '1622219')","(False, '18723253', '1560274')","(False, '19051682', '1587647')","(False, '17487481', '1457292')","(False, '18547894', '1545665')"
topspin_12_4.d=2000,5 8 3 2 6 10 0 9 7 1 4 11,"(False, '25341577', '2111808')","(False, '19493748', '1624484')","(False, '17136193', '1428019')","(False, '24095571', '2007980')","(False, '17700001', '1475002')","(False, '19022161', '1585186')"
topspin_12_4.d=2000,8 5 7 4 9 1 0 2 3 10 6 11,"(False, '25345345', '2112117')","(False, '26032133', '2169352')","(False, '24702973', '2058586')","(False, '18253278', '1521112')","(False, '18474893', '1539579')","(False, '18904177', '1575356')"
topspin_12_4.d=2000,10 1 5 4 3 0 8 9 7 6 2 11,"(False, '25127125', '2093932')","(False, '17824330', '1485366')","(False, '19085365', '1590449')","(False, '18505777', '1542157')","(False, '17697551', '1474799')","(False, '18137779', '1511487')"
topspin_12_4.d=2000,7 5 4 8 6 10 3 9 1 0 2 11,"(False, '19230313', '1602529')","(False, '19395253', '1616278')","(False, '18608989', '1550752')","(False, '24454077', '2037850')","(False, '18288524', '1524046')","(False, '18106728', '1508901')"
topspin_12_4.d=2000,6 7 4 3 5 2 1 0 9 8 10 11,"(False, '25338769', '2111571')","(False, '23936094', '1994682')","(False, '24386561', '2032217')","(False, '19466074', '1622178')","(False, '17742529', '1478545')","(False, '18445848', '1537161')"
topspin_12_4.d=2000,10 4 1 0 2 8 6 5 9 7 3 11,"(False, '25639309', '2136613')","(False, '19266719', '1605565')","(False, '18472309', '1539361')","(False, '18054783', '1504572')","(False, '23384893', '1948746')","(False, '18171279', '1514277')"
topspin_12_4.d=010,3 4 5 10 6 0 2 8 7 9 1 11,"(False, '25428012', '2119005')","(False, '18114046', '1509509')","(False, '18136959', '1511417')","(False, '18148527', '1512382')","(False, '23304625', '1942056')","(False, '24550519', '2045885')"
topspin_12_4.d=010,4 8 1 9 10 0 3 5 6 7 2 11,"(False, '18255685', '1521310')","(False, '20075444', '1672959')","(False, '18471742', '1539314')","(False, '19476742', '1623065')","(False, '18261312', '1521779')","(False, '18001857', '1500164')"
topspin_12_4.d=010,3 2 5 4 0 8 9 1 6 7 10 11,"(True, '155965', '12997')","(True, '170142', '14181')","(True, '155965', '12997')","(True, '170142', '14181')","(True, '155965', '12997')","(True, '170142', '14181')"
topspin_12_4.d=010,1 3 10 9 7 8 2 6 5 4 0 11,"(False, '25648189', '2137353')","(False, '26410056', '2200848')","(False, '25083697', '2090312')","(False, '26109920', '2175834')","(False, '23735953', '1978009')","(False, '24657836', '2054827')"
topspin_12_4.d=010,8 1 2 7 3 0 5 4 9 10 6 11,"(False, '17787601', '1482304')","(False, '19199608', '1599973')","(False, '19041097', '1586760')","(False, '26232751', '2186068')","(False, '18039853', '1503324')","(False, '18415726', '1534650')"
topspin_12_4.d=010,4 3 2 7 6 5 0 9 1 10 8 11,"(False, '26124853', '2177074')","(False, '20016874', '1668079')","(False, '18775381', '1564619')","(False, '19357747', '1613151')","(False, '17874541', '1489547')","(False, '18371819', '1530995')"
topspin_12_4.d=010,0 10 9 8 7 5 2 1 4 3 6 11,"(False, '26114053', '2176176')","(False, '18344655', '1528726')","(False, '18977173', '1581433')","(False, '24471266', '2039280')","(False, '17415829', '1451323')","(False, '19028680', '1585729')"
topspin_12_4.d=010,1 9 8 7 0 6 10 5 3 4 2 11,"(False, '24100270', '2008359')","(False, '19070310', '1589198')","(False, '18961141', '1580149')","(False, '19123800', '1593656')","(False, '18604189', '1550352')","(False, '24471737', '2039318')"
topspin_12_4.d=010,8 9 2 6 0 5 4 10 7 3 1 11,"(False, '19062994', '1588586')","(False, '25338539', '2111553')","(False, '24402673', '2033561')","(False, '18327127', '1527268')","(False, '17809285', '1484114')","(False, '17492477', '1457714')"
topspin_12_4.d=010,9 8 7 2 3 4 5 6 10 1 0 11,"(True, '229633', '19136')","(True, '250505', '20876')","(True, '229633', '19136')","(True, '250505', '20876')","(True, '229633', '19136')","(True, '250505', '20876')"
topspin_12_4.d=015,5 1 8 6 3 2 0 4 7 10 9 11,"(False, '18516915', '1543082')","(False, '18889890', '1574162')","(False, '18551677', '1545976')","(False, '18824240', '1568692')","(False, '19045585', '1587135')","(False, '18407988', '1534035')"
topspin_12_4.d=015,1 3 7 2 4 0 8 10 6 5 9 11,"(False, '23560225', '1963356')","(False, '18986606', '1582221')","(False, '18495997', '1541336')","(False, '24698864', '2058246')","(False, '24996421', '2083040')","(False, '24496035', '2041343')"
topspin_12_4.d=015,8 3 1 6 10 9 4 7 5 2 0 11,"(False, '18143065', '1511925')","(False, '18553102', '1546098')","(False, '17070610', '1422553')","(False, '18919896', '1576664')","(False, '24215555', '2017967')","(False, '19330859', '1610911')"
topspin_12_4.d=015,9 10 8 3 4 1 2 5 0 6 7 11,"(False, '18953778', '1579484')","(False, '24298937', '2024918')","(False, '17325373', '1443784')","(False, '17951339', '1495951')","(False, '25131733', '2094317')","(False, '18956326', '1579699')"
topspin_12_4.d=015,5 4 0 9 1 8 6 10 2 3 7 11,"(False, '23606317', '1967197')","(False, '19841589', '1653473')","(False, '24037861', '2003158')","(False, '24804600', '2067062')","(False, '18435037', '1536255')","(False, '24328980', '2027421')"
topspin_12_4.d=015,10 7 0 2 1 6 4 5 8 9 3 11,"(False, '19522489', '1626876')","(False, '26270244', '2189195')","(False, '23914897', '1992911')","(False, '19018534', '1584883')","(False, '23638417', '1969872')","(False, '18703162', '1558603')"
topspin_12_4.d=015,4 10 9 2 6 8 0 1 5 3 7 11,"(False, '18750121', '1562515')","(False, '18389771', '1532487')","(False, '25282321', '2106867')","(False, '18923025', '1576924')","(False, '24998335', '2083199')","(False, '18703347', '1558619')"
topspin_12_4.d=015,6 2 4 0 8 3 10 9 7 5 1 11,"(False, '19127077', '1593925')","(False, '26011972', '2167670')","(False, '17943153', '1495264')","(False, '24400155', '2033351')","(False, '18979117', '1581596')","(False, '19614302', '1634530')"
topspin_12_4.d=015,5 1 6 0 7 3 8 10 4 2 9 11,"(False, '18253873', '1521160')","(False, '19226916', '1602249')","(False, '18873757', '1572816')","(False, '18388627', '1532390')","(False, '25235113', '2102931')","(False, '24864727', '2072068')"
topspin_12_4.d=015,0 6 5 1 2 9 4 8 3 7 10 11,"(False, '18646573', '1553884')","(False, '19353084', '1612763')","(False, '18144085', '1512010')","(False, '18979539', '1581632')","(False, '18102145', '1508515')","(False, '18359136', '1529934')"
topspin_12_4.d=005,0 1 2 9 4 5 7 8 3 6 10 11,"(True, '1377877', '114823')","(True, '1503136', '125264')","(True, '1377877', '114823')","(True, '1503136', '125264')","(True, '1377877', '114823')","(True, '1503136', '125264')"
topspin_12_4.d=005,7 6 9 8 0 2 10 1 5 4 3 11,"(True, '851185', '70932')","(True, '928562', '77382')","(True, '851185', '70932')","(True, '928562', '77382')","(True, '851185', '70932')","(True, '928562', '77382')"
topspin_12_4.d=005,0 10 9 2 1 6 7 3 4 5 8 11,"(True, '1264273', '105356')","(True, '1379203', '114935')","(True, '1264273', '105356')","(True, '1379203', '114935')","(True, '1264273', '105356')","(True, '1379203', '114935')"
topspin_12_4.d=005,8 7 1 0 4 5 6 9 2 3 10 11,"(True, '2897581', '241465')","(True, '3160994', '263418')","(True, '2897581', '241465')","(True, '3160994', '263418')","(True, '2897581', '241465')","(True, '3160994', '263418')"
topspin_12_4.d=005,8 3 2 10 9 4 1 7 6 5 0 11,"(True, '661945', '55162')","(True, '722118', '60178')","(True, '661945', '55162')","(True, '722118', '60178')","(True, '661945', '55162')","(True, '722118', '60178')"
topspin_12_4.d=005,1 5 4 3 2 0 8 10 9 7 6 11,"(True, '704581', '58715')","(True, '768630', '64054')","(True, '704581', '58715')","(True, '768630', '64054')","(True, '704581', '58715')","(True, '768630', '64054')"
topspin_12_4.d=005,0 1 5 3 8 7 6 4 10 9 2 11,"(True, '1156201', '96350')","(True, '1261308', '105112')","(True, '1156201', '96350')","(True, '1261308', '105112')","(True, '1156201', '96350')","(True, '1261308', '105112')"
topspin_12_4.d=005,8 4 3 2 9 5 6 10 1 0 7 11,"(True, '679537', '56628')","(True, '741310', '61778')","(True, '679537', '56628')","(True, '741310', '61778')","(True, '679537', '56628')","(True, '741310', '61778')"
topspin_12_4.d=005,0 7 6 2 1 8 5 10 9 3 4 11,"(True, '674689', '56224')","(True, '736022', '61338')","(True, '674689', '56224')","(True, '736022', '61338')","(True, '674689', '56224')","(True, '736022', '61338')"
topspin_12_4.d=005,8 4 5 10 9 7 0 1 2 3 6 11,"(True, '3245977', '270498')","(True, '3541062', '295090')","(True, '3245977', '270498')","(True, '3541062', '295090')","(True, '3245977', '270498')","(True, '3541062', '295090')"
topspin_12_4.d=2000000,9 7 0 10 4 6 5 8 2 3 1 11,"(False, '24061273', '2005111')","(False, '19798447', '1649876')","(False, '24576697', '2048063')","(False, '19210985', '1600920')","(False, '24766672', '2063894')","(False, '26951732', '2245985')"
topspin_12_4.d=2000000,3 10 4 2 7 5 6 9 0 1 8 11,"(False, '18920098', '1576676')","(False, '25651803', '2137656')","(False, '24059851', '2004994')","(False, '18378747', '1531567')","(False, '19852771', '1654401')","(False, '19430648', '1619227')"
topspin_12_4.d=2000000,9 7 2 1 10 6 8 0 4 5 3 11,"(False, '19054333', '1587864')","(False, '23969844', '1997495')","(False, '18926641', '1577224')","(False, '19571588', '1630972')","(False, '25304605', '2108721')","(False, '20107245', '1675609')"
topspin_12_4.d=2000000,8 10 6 3 1 2 4 7 0 5 9 11,"(False, '18843814', '1570321')","(False, '17788305', '1482366')","(False, '19056229', '1588022')","(False, '19100294', '1591697')","(False, '26513869', '2209494')","(False, '18985350', '1582119')"
topspin_12_4.d=2000000,1 5 6 4 10 0 9 8 7 2 3 11,"(False, '18299485', '1524960')","(False, '24654551', '2054551')","(False, '18044195', '1503686')","(False, '18035334', '1502952')","(False, '19883365', '1656950')","(False, '20289374', '1690786')"
topspin_12_4.d=2000000,2 3 7 10 6 0 5 9 1 8 4 11,"(False, '18787645', '1565640')","(False, '19143497', '1595297')","(False, '18785029', '1565421')","(False, '18948913', '1579081')","(False, '19826495', '1652210')","(False, '25130628', '2094225')"
topspin_12_4.d=2000000,7 5 2 9 4 8 0 10 6 1 3 11,"(False, '18328993', '1527420')","(False, '18517075', '1543095')","(False, '18769333', '1564113')","(False, '25004342', '2083704')","(False, '19740265', '1645024')","(False, '20031759', '1669320')"
topspin_12_4.d=2000000,6 2 7 4 1 10 0 9 8 3 5 11,"(False, '18546769', '1545568')","(False, '23893459', '1991128')","(False, '24184141', '2015350')","(False, '18054313', '1504533')","(False, '18261373', '1521789')","(False, '19547748', '1628984')"
topspin_12_4.d=2000000,10 0 5 4 1 9 8 7 3 6 2 11,"(False, '16337593', '1361470')","(False, '18399100', '1533264')","(False, '18461353', '1538448')","(False, '18764114', '1563681')","(False, '19459837', '1621656')","(False, '26168811', '2180742')"
topspin_12_4.d=2000000,6 7 0 3 10 4 8 9 5 1 2 11,"(False, '24523500', '2043631')","(False, '17673956', '1472836')","(False, '23959069', '1996592')","(False, '18894997', '1574588')","(False, '25646665', '2137227')","(False, '19069970', '1589170')"
