pruning,,topspin_12_4_h2,topspin_12_4_h2,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h0,topspin_12_4_h0
algorithm,,astar,idastart,astar,idastart,astar,idastart
file,instance,,,,,,
topspin_12_4.d=2000,3 0 6 7 8 1 5 4 10 2 9 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=2000,10 1 5 4 3 0 8 9 7 6 2 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=2000,6 7 4 3 5 2 1 0 9 8 10 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=2000,9 6 10 3 1 7 4 0 8 5 2 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=2000,8 5 7 4 9 1 0 2 3 10 6 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=2000,7 5 4 8 6 10 3 9 1 0 2 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=2000,9 0 7 10 4 8 2 6 1 3 5 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=2000,10 4 1 0 2 8 6 5 9 7 3 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=2000,5 8 3 2 6 10 0 9 7 1 4 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=2000,0 7 3 5 4 9 10 8 6 1 2 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=010,3 4 5 10 6 0 2 8 7 9 1 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=010,3 2 5 4 0 8 9 1 6 7 10 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=010,4 3 2 7 6 5 0 9 1 10 8 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=010,1 9 8 7 0 6 10 5 3 4 2 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=010,9 8 7 2 3 4 5 6 10 1 0 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=010,8 9 2 6 0 5 4 10 7 3 1 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=010,8 1 2 7 3 0 5 4 9 10 6 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=010,4 8 1 9 10 0 3 5 6 7 2 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=010,1 3 10 9 7 8 2 6 5 4 0 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=010,0 10 9 8 7 5 2 1 4 3 6 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
topspin_12_4.d=015,10 7 0 2 1 6 4 5 8 9 3 11,"(False, '0', '0')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')","(False, '12', '4')","(False, '0', '0')"
