pruning,,topspin_14_4_h2,topspin_14_4_h2,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h0,topspin_14_4_h0
algorithm,,bfs,iddfs,bfs,iddfs,bfs,iddfs
file,instance,,,,,,
topspin_14_4.d=005,8 7 6 9 12 11 0 10 1 2 3 4 5 13,"(True, '2384719', '170337')","(True, '2568155', '183441')","(True, '2384719', '170337')","(True, '2568155', '183441')","(True, '2384719', '170337')","(True, '2568155', '183441')"
topspin_14_4.d=005,12 7 1 2 3 11 10 5 4 8 9 6 0 13,"(True, '3571807', '255129')","(True, '3846558', '274756')","(True, '3571807', '255129')","(True, '3846558', '274756')","(True, '3571807', '255129')","(True, '3846558', '274756')"
topspin_14_4.d=005,6 7 3 8 4 5 0 10 9 12 11 1 2 13,"(True, '8094983', '578213')","(True, '8717669', '622691')","(True, '8094983', '578213')","(True, '8717669', '622691')","(True, '8094983', '578213')","(True, '8717669', '622691')"
topspin_14_4.d=005,0 1 5 10 9 2 6 4 3 8 7 11 12 13,"(True, '2393469', '170962')","(True, '2577580', '184116')","(True, '2393469', '170962')","(True, '2577580', '184116')","(True, '2393469', '170962')","(True, '2577580', '184116')"
topspin_14_4.d=005,10 9 2 12 4 3 1 11 5 6 7 8 0 13,"(True, '2842953', '203068')","(True, '3061638', '218690')","(True, '2842953', '203068')","(True, '3061638', '218690')","(True, '2842953', '203068')","(True, '3061638', '218690')"
topspin_14_4.d=005,5 6 2 1 4 8 9 10 11 12 0 7 3 13,"(True, '966155', '69011')","(True, '1040473', '74323')","(True, '966155', '69011')","(True, '1040473', '74323')","(True, '966155', '69011')","(True, '1040473', '74323')"
topspin_14_4.d=005,9 8 11 1 2 3 10 6 5 4 0 7 12 13,"(True, '2475089', '176792')","(True, '2665477', '190393')","(True, '2475089', '176792')","(True, '2665477', '190393')","(True, '2475089', '176792')","(True, '2665477', '190393')"
topspin_14_4.d=005,6 11 0 1 2 3 4 7 8 12 5 10 9 13,"(True, '4793909', '342422')","(True, '5162667', '368763')","(True, '4793909', '342422')","(True, '5162667', '368763')","(True, '4793909', '342422')","(True, '5162667', '368763')"
topspin_14_4.d=005,3 4 1 0 5 6 7 10 11 12 8 9 2 13,"(True, '4689259', '334947')","(True, '5049967', '360713')","(True, '4689259', '334947')","(True, '5049967', '360713')","(True, '4689259', '334947')","(True, '5049967', '360713')"
topspin_14_4.d=005,0 7 1 11 12 8 5 4 3 2 6 10 9 13,"(True, '1922747', '137339')","(True, '2070647', '147905')","(True, '1922747', '137339')","(True, '2070647', '147905')","(True, '1922747', '137339')","(True, '2070647', '147905')"
topspin_14_4.d=2000000,3 6 11 8 5 12 7 0 9 1 4 2 10 13,"(False, '191496747', '13678347')","(False, '208401229', '14885867')","(False, '199907093', '14279085')","(False, '221201179', '15800089')","(False, '179661371', '12832956')","(False, '188977544', '13498454')"
topspin_14_4.d=2000000,3 6 12 2 8 1 7 5 9 0 4 11 10 13,"(False, '181423299', '12958810')","(False, '201608206', '14400595')","(False, '200996853', '14356946')","(False, '206331354', '14737965')","(False, '172702831', '12335922')","(False, '191062787', '13647423')"
topspin_14_4.d=2000000,5 7 12 6 0 3 9 8 1 2 10 4 11 13,"(False, '190051625', '13575116')","(False, '207036968', '14788371')","(False, '181602237', '12971595')","(False, '210344182', '15024599')","(False, '170478939', '12177084')","(False, '191001195', '13643091')"
topspin_14_4.d=2000000,2 1 7 6 4 0 11 5 8 9 12 10 3 13,"(False, '200613183', '14329520')","(False, '220941754', '15781568')","(False, '197501613', '14107258')","(False, '215598550', '15399929')","(False, '159151310', '11367960')","(False, '194308098', '13879189')"
topspin_14_4.d=2000000,7 4 12 11 0 3 8 9 2 6 1 10 5 13,"(False, '201875437', '14419688')","(False, '216681091', '15477235')","(False, '195159553', '13939968')","(False, '220172586', '15726627')","(False, '187528041', '13394922')","(False, '209590109', '14970806')"
topspin_14_4.d=2000000,6 10 12 5 4 8 7 0 9 3 1 11 2 13,"(False, '195927397', '13994820')","(False, '215417174', '15386956')","(False, '199472253', '14248024')","(False, '216750081', '15515400')","(False, '189873069', '13562446')","(False, '214489420', '15320678')"
topspin_14_4.d=2000000,10 11 3 2 5 9 8 7 12 6 0 4 1 13,"(False, '198169749', '14154982')","(False, '214902900', '15350216')","(False, '202012329', '14429459')","(False, '215043173', '15360240')","(False, '174479411', '12462820')","(False, '213389766', '15242185')"
topspin_14_4.d=2000000,0 11 9 12 8 7 4 1 2 5 3 10 6 13,"(False, '197226527', '14087616')","(False, '221857176', '15847116')","(False, '199186877', '14227641')","(False, '220135120', '15723991')","(False, '191614081', '13686720')","(False, '212399241', '15171386')"
topspin_14_4.d=2000000,2 1 11 8 12 4 3 7 6 5 0 10 9 13,"(False, '196221187', '14015799')","(False, '221656524', '15832660')","(False, '202007429', '14429102')","(False, '217225199', '15516210')","(False, '175032769', '12502536')","(False, '200236416', '14302680')"
topspin_14_4.d=2000000,8 11 0 2 4 1 12 6 9 3 5 7 10 13,"(False, '197177989', '14084145')","(False, '214547945', '15324863')","(False, '200112893', '14293875')","(False, '217481391', '15534434')","(False, '175920641', '12565858')","(False, '196257616', '14018409')"
topspin_14_4.d=010,4 10 2 5 6 7 0 12 11 9 3 8 1 13,"(False, '195717593', '13979828')","(False, '205531295', '14680811')","(False, '195505283', '13964721')","(False, '218142011', '15581583')","(False, '177737337', '12695784')","(False, '189185328', '13513249')"
topspin_14_4.d=010,0 7 6 5 4 8 9 1 10 2 3 12 11 13,"(True, '20307771', '1450555')","(True, '21869904', '1562139')","(True, '20307771', '1450555')","(True, '21869904', '1562139')","(True, '20307771', '1450555')","(True, '21869904', '1562139')"
topspin_14_4.d=010,9 5 3 11 10 6 0 4 7 1 2 12 8 13,"(False, '190025361', '13573240')","(False, '193854113', '13846731')","(False, '197804405', '14128886')","(False, '212656002', '15189809')","(False, '185765511', '13268973')","(False, '211054711', '15075345')"
topspin_14_4.d=010,4 9 10 1 5 8 11 12 2 3 7 6 0 13,"(False, '194300107', '13878587')","(False, '220704184', '15764599')","(False, '194690111', '13906445')","(False, '191643566', '13688846')","(False, '193934134', '13852444')","(False, '165316741', '11808343')"
topspin_14_4.d=010,4 5 6 3 10 11 1 7 8 9 2 12 0 13,"(False, '182355181', '13025466')","(False, '217107885', '15507711')","(False, '194908673', '13922051')","(False, '221081499', '15791669')","(False, '192378299', '13741312')","(False, '205680182', '14692997')"
topspin_14_4.d=010,7 2 0 3 4 8 1 6 5 9 10 12 11 13,"(False, '188157140', '13439802')","(False, '218200209', '15585746')","(False, '202718671', '14479986')","(False, '215053158', '15360948')","(False, '184208641', '13157760')","(False, '201024159', '14358979')"
topspin_14_4.d=010,9 12 11 0 7 1 2 3 8 6 5 4 10 13,"(False, '189115865', '13508454')","(False, '210376869', '15026960')","(False, '191614445', '13686767')","(False, '216202547', '15443051')","(False, '186056207', '13289802')","(False, '203547686', '14539128')"
topspin_14_4.d=010,7 3 8 1 4 5 6 12 10 0 2 11 9 13,"(False, '190741419', '13624670')","(False, '197322303', '14097604')","(False, '182114213', '13008158')","(False, '215338598', '15381340')","(False, '172032813', '12288390')","(False, '193883423', '13848828')"
topspin_14_4.d=010,9 6 11 3 1 0 12 7 8 2 10 5 4 13,"(False, '196945925', '14067626')","(False, '211231247', '15087956')","(False, '191885183', '13706088')","(False, '207707424', '14836319')","(False, '166160989', '11868729')","(False, '168705399', '12050719')"
topspin_14_4.d=010,9 7 1 0 3 4 5 10 2 6 12 8 11 13,"(False, '197503451', '14107393')","(False, '209753889', '14982428')","(False, '195369049', '13955046')","(False, '214633702', '15330998')","(False, '161835073', '11559649')","(False, '168710439', '12050754')"
topspin_14_4.d=2000,3 7 12 5 1 10 4 9 11 2 8 0 6 13,"(False, '187814397', '13415320')","(False, '203841128', '14560095')","(False, '196017711', '14001271')","(False, '207798353', '14842750')","(False, '160557153', '11468369')","(False, '190654097', '13618162')"
topspin_14_4.d=2000,3 9 11 8 0 7 12 5 1 2 4 10 6 13,"(False, '182925457', '13066914')","(False, '204940100', '14638590')","(False, '200268867', '14305105')","(False, '199098712', '14221415')","(False, '163812349', '11700910')","(False, '169652049', '12118015')"
topspin_14_4.d=2000,3 9 2 6 0 7 10 4 5 12 1 8 11 13,"(False, '181604473', '12971754')","(False, '197841388', '14131539')","(False, '201333189', '14380942')","(False, '219880863', '15705828')","(False, '163413797', '11672422')","(False, '170834125', '12202452')"
topspin_14_4.d=2000,7 5 8 0 12 4 10 11 6 2 1 3 9 13,"(False, '184044309', '13146103')","(False, '213600133', '15257171')","(False, '198795577', '14199684')","(False, '216952607', '15496625')","(False, '157925965', '11280433')","(False, '161566943', '11540649')"
topspin_14_4.d=2000,2 12 5 4 6 10 0 8 3 1 11 7 9 13,"(False, '196597465', '14042745')","(False, '219141761', '15652988')","(False, '197305403', '14093248')","(False, '217832483', '15559467')","(False, '150923949', '10780282')","(False, '167575068', '11969865')"
topspin_14_4.d=2000,9 4 11 12 5 8 6 10 0 2 3 1 7 13,"(False, '185377025', '13241237')","(False, '220337544', '15738409')","(False, '187420801', '13387553')","(False, '220906215', '15779027')","(False, '159901263', '11421597')","(False, '167534194', '11966828')"
topspin_14_4.d=2000,9 5 7 6 2 12 1 3 11 4 10 8 0 13,"(False, '199387693', '14242016')","(False, '217407222', '15529123')","(False, '195950441', '13996502')","(False, '215360629', '15383036')","(False, '161284796', '11520353')","(False, '169938375', '12138462')"
topspin_14_4.d=2000,10 5 9 3 2 6 1 8 11 7 4 12 0 13,"(False, '198654877', '14189634')","(False, '211060561', '15075824')","(False, '201950365', '14425028')","(False, '219459860', '15675708')","(False, '163722343', '11694461')","(False, '168809370', '12057929')"
topspin_14_4.d=2000,12 9 4 7 3 11 8 5 1 6 10 2 0 13,"(False, '200424547', '14316046')","(False, '213920463', '15280157')","(False, '194362617', '13883049')","(False, '216647525', '15474980')","(False, '164001685', '11714462')","(False, '169385867', '12099058')"
topspin_14_4.d=2000,11 3 6 10 12 8 2 7 1 9 0 5 4 13,"(False, '196175020', '14012510')","(False, '220025947', '15717544')","(False, '197663747', '14118846')","(False, '221205673', '15800414')","(False, '164554083', '11753872')","(False, '167260382', '11947182')"
topspin_14_4.d=015,4 10 5 11 3 6 7 8 2 0 12 1 9 13,"(False, '200328563', '14309312')","(False, '198718804', '14194204')","(False, '194988081', '13927900')","(False, '213126235', '15223318')","(False, '163775890', '11698282')","(False, '168800189', '12057168')"
topspin_14_4.d=015,3 7 8 6 9 0 4 11 12 5 2 1 10 13,"(False, '199299353', '14235781')","(False, '221421821', '15815856')","(False, '196293637', '14021060')","(False, '211333619', '15095269')","(False, '163128673', '11652057')","(False, '170051000', '12146633')"
topspin_14_4.d=015,4 5 2 10 1 11 0 3 8 7 9 12 6 13,"(False, '200072321', '14290880')","(False, '217755619', '15553983')","(False, '185045799', '13217559')","(False, '210966678', '15069057')","(False, '164292395', '11735226')","(False, '193410912', '13815164')"
topspin_14_4.d=015,11 9 0 6 7 8 2 10 5 1 3 4 12 13,"(False, '201895072', '14421084')","(False, '208194786', '14871069')","(False, '197649481', '14117849')","(False, '209261494', '14947384')","(False, '176421785', '12601556')","(False, '191334413', '13666753')"
topspin_14_4.d=015,2 1 0 7 4 9 8 3 10 12 11 5 6 13,"(False, '181198823', '12942841')","(False, '218605729', '15614758')","(False, '194623409', '13901678')","(False, '222327545', '15880549')","(False, '175421401', '12530170')","(False, '194647128', '13903372')"
topspin_14_4.d=015,8 5 10 0 6 2 1 4 12 11 9 7 3 13,"(False, '194943463', '13924587')","(False, '214937820', '15352713')","(False, '200170931', '14298022')","(False, '219050908', '15646503')","(False, '180550371', '12896510')","(False, '196947642', '14067696')"
topspin_14_4.d=015,1 9 8 3 12 4 5 6 0 7 2 10 11 13,"(False, '194758145', '13911296')","(False, '206214990', '14729690')","(False, '173986994', '12427647')","(False, '199552693', '14253829')","(False, '174877305', '12491236')","(False, '186350751', '13310950')"
topspin_14_4.d=015,11 7 8 9 2 6 10 5 12 3 0 4 1 13,"(False, '197034325', '14073888')","(False, '208653495', '14903828')","(False, '176871297', '12633672')","(False, '198445972', '14175332')","(False, '168322673', '12023314')","(False, '192384310', '13741749')"
topspin_14_4.d=015,1 11 7 3 2 9 5 6 12 8 0 4 10 13,"(False, '199315565', '14236834')","(False, '217171781', '15512279')","(False, '181552869', '12968107')","(False, '192990126', '13785023')","(False, '179050593', '12789335')","(False, '194116755', '13865587')"
topspin_14_4.d=015,6 0 7 9 5 12 2 3 1 8 11 10 4 13,"(False, '199554797', '14253921')","(False, '213933229', '15281298')","(False, '166453995', '11889631')","(False, '194965855', '13926273')","(False, '173912971', '12422370')","(False, '188319277', '13451392')"
