pruning,,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0,topspin_14_4_h0
algorithm,,bfs,bfs,bfs,bfs,bfs,iddfs,iddfs,iddfs,iddfs,iddfs,astar,astar,astar,astar,astar,idastar,idastar,idastar,idastar,idastar,bfs,bfs,bfs,bfs,bfs,iddfs,iddfs,iddfs,iddfs,iddfs,astar,astar,astar,astar,astar,idastar,idastar,idastar,idastar,idastar
info,,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t
file,instance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topspin_14_4.d=005,12 7 1 2 3 11 10 5 4 8 9 6 0 13,1,3571807,255129,6,1.0195939540863037,1,3846558,274756,6,1.0153577327728271,1,294,21,6,1.0083062648773193,1,477,36,6,1.0089595317840576,1,3571807,255129,6,1.0812699794769287,1,3846558,274756,6,1.018944501876831,1,294,21,6,1.0106892585754395,1,477,36,6,1.0097770690917969
topspin_14_4.d=005,8 7 6 9 12 11 0 10 1 2 3 4 5 13,1,2384719,170337,6,1.0128817558288574,1,2568155,183441,6,1.0130174160003662,1,1722,123,6,1.0086283683776855,1,1268,92,6,1.0085890293121338,1,2384719,170337,6,1.0170540809631348,1,2568155,183441,6,1.0153717994689941,1,1722,123,6,1.0101149082183838,1,1268,92,6,1.0093986988067627
topspin_14_4.d=005,0 7 1 11 12 8 5 4 3 2 6 10 9 13,1,1922747,137339,6,1.0113458633422852,1,2070647,147905,6,1.0118520259857178,1,420,30,5,1.007934331893921,1,1222,89,6,1.009355068206787,1,1922747,137339,6,1.0136663913726807,1,2070647,147905,6,1.0133404731750488,1,420,30,5,1.0083644390106201,1,1222,89,6,1.0096075534820557
topspin_14_4.d=005,0 1 5 10 9 2 6 4 3 8 7 11 12 13,1,2393469,170962,6,1.0123357772827148,1,2577580,184116,6,1.013129711151123,1,252,18,5,1.0086009502410889,1,221,19,6,1.0091681480407715,1,2393469,170962,6,1.0151312351226807,1,2577580,184116,6,1.015681505203247,1,252,18,5,1.008556604385376,1,221,19,6,1.0099778175354004
topspin_14_4.d=005,3 4 1 0 5 6 7 10 11 12 8 9 2 13,1,4689259,334947,6,1.0191993713378906,1,5049967,360713,6,1.01849365234375,1,1050,75,6,1.0085828304290771,1,1902,137,6,1.008631706237793,1,4689259,334947,6,1.0211896896362305,1,5049967,360713,6,1.0224359035491943,1,1050,75,6,1.0085391998291016,1,1902,137,6,1.0102739334106445
topspin_14_4.d=005,6 7 3 8 4 5 0 10 9 12 11 1 2 13,1,8094983,578213,6,2.0252277851104736,1,8717669,622691,6,2.025926113128662,1,154,11,6,1.0085408687591553,1,92,7,6,1.0091781616210938,1,8094983,578213,6,2.0327858924865723,1,8717669,622691,6,2.034839391708374,1,154,11,6,1.008209466934204,1,92,7,6,1.011686086654663
topspin_14_4.d=005,9 8 11 1 2 3 10 6 5 4 0 7 12 13,1,2475089,176792,6,1.0130679607391357,1,2665477,190393,6,1.0127029418945312,1,2282,163,6,1.0080204010009766,1,3194,230,6,1.0091450214385986,1,2475089,176792,6,1.0158567428588867,1,2665477,190393,6,1.016083002090454,1,2282,163,6,1.0087668895721436,1,3194,230,6,1.0092673301696777
